Genome_ID	contig_length
GCF_000008685.2_ASM868v2	5265
GCF_000008685.2_ASM868v2	9477
GCF_000008685.2_ASM868v2	17010
GCF_000008685.2_ASM868v2	18954
GCF_000008685.2_ASM868v2	24462
GCF_000008685.2_ASM868v2	26811
GCF_000008685.2_ASM868v2	28431
GCF_000008685.2_ASM868v2	30132
GCF_000008685.2_ASM868v2	28917
GCF_000008685.2_ASM868v2	27621
GCF_000008685.2_ASM868v2	31104
GCF_000008685.2_ASM868v2	30537
GCF_000008685.2_ASM868v2	30618
GCF_000008685.2_ASM868v2	30132
GCF_000008685.2_ASM868v2	31185
GCF_000008685.2_ASM868v2	31266
GCF_000008685.2_ASM868v2	31023
GCF_000008685.2_ASM868v2	37260
GCF_000008685.2_ASM868v2	39285
GCF_000008685.2_ASM868v2	54270
GCF_000008685.2_ASM868v2	53622
GCF_000021405.1_ASM2140v1	26811
GCF_000021405.1_ASM2140v1	30699
GCF_000021405.1_ASM2140v1	30132
GCF_000021405.1_ASM2140v1	48762
GCF_000021405.1_ASM2140v1	31347
GCF_000021405.1_ASM2140v1	30780
GCF_000021405.1_ASM2140v1	17415
GCF_000021405.1_ASM2140v1	24624
GCF_000021405.1_ASM2140v1	23652
GCF_000021405.1_ASM2140v1	30051
GCF_000021405.1_ASM2140v1	28755
GCF_000021405.1_ASM2140v1	29241
GCF_000021405.1_ASM2140v1	37260
GCF_000021405.1_ASM2140v1	54270
GCF_000165595.2_ASM16559v2	25029
GCF_000165595.2_ASM16559v2	26811
GCF_000165595.2_ASM16559v2	28836
GCF_000165595.2_ASM16559v2	30375
GCF_000165595.2_ASM16559v2	8667
GCF_000165595.2_ASM16559v2	15552
GCF_000165595.2_ASM16559v2	6885
GCF_000165595.2_ASM16559v2	32724
GCF_000165595.2_ASM16559v2	34668
GCF_000165595.2_ASM16559v2	60669
GCF_000165595.2_ASM16559v2	60507
GCF_000166635.1_ASM16663v1	26811
GCF_000166635.1_ASM16663v1	30456
GCF_000166635.1_ASM16663v1	28107
GCF_000166635.1_ASM16663v1	16038
GCF_000166635.1_ASM16663v1	29970
GCF_000166635.1_ASM16663v1	17658
GCF_000166635.1_ASM16663v1	31023
GCF_000166635.1_ASM16663v1	8829
GCF_000166635.1_ASM16663v1	20898
GCF_000166635.1_ASM16663v1	23652
GCF_000166635.1_ASM16663v1	29889
GCF_000166635.1_ASM16663v1	29727
GCF_000166635.1_ASM16663v1	26973
GCF_000166635.1_ASM16663v1	29484
GCF_000166635.1_ASM16663v1	38313
GCF_000166635.1_ASM16663v1	54432
GCF_000166655.1_ASM16665v1	26811
GCF_000166655.1_ASM16665v1	61479
GCF_000166655.1_ASM16665v1	30618
GCF_000166655.1_ASM16665v1	30213
GCF_000166655.1_ASM16665v1	30375
GCF_000166655.1_ASM16665v1	30051
GCF_000166655.1_ASM16665v1	31185
GCF_000166655.1_ASM16665v1	31428
GCF_000166655.1_ASM16665v1	31023
GCF_000166655.1_ASM16665v1	17739
GCF_000166655.1_ASM16665v1	23085
GCF_000166655.1_ASM16665v1	24624
GCF_000166655.1_ASM16665v1	29079
GCF_000166655.1_ASM16665v1	30456
GCF_000166655.1_ASM16665v1	24867
GCF_000166655.1_ASM16665v1	27297
GCF_000166655.1_ASM16665v1	30294
GCF_000166655.1_ASM16665v1	23085
GCF_000166655.1_ASM16665v1	27864
GCF_000166655.1_ASM16665v1	53541
GCF_000181555.2_ASM18155v2	15552
GCF_000181555.2_ASM18155v2	26811
GCF_000181555.2_ASM18155v2	15066
GCF_000181555.2_ASM18155v2	30780
GCF_000181555.2_ASM18155v2	31023
GCF_000181555.2_ASM18155v2	30618
GCF_000181555.2_ASM18155v2	30618
GCF_000181555.2_ASM18155v2	30618
GCF_000181555.2_ASM18155v2	21546
GCF_000181555.2_ASM18155v2	31266
GCF_000181555.2_ASM18155v2	18063
GCF_000181555.2_ASM18155v2	25191
GCF_000181555.2_ASM18155v2	24381
GCF_000181555.2_ASM18155v2	29079
GCF_000181555.2_ASM18155v2	29808
GCF_000181555.2_ASM18155v2	27621
GCF_000181555.2_ASM18155v2	26973
GCF_000181555.2_ASM18155v2	23895
GCF_000181555.2_ASM18155v2	30618
GCF_000181555.2_ASM18155v2	54513
GCF_000196215.1_ASM19621v1	27378
GCF_000196215.1_ASM19621v1	56214
GCF_000222835.1_ASM22283v1	24948
GCF_000222835.1_ASM22283v1	26811
GCF_000222835.1_ASM22283v1	26892
GCF_000222835.1_ASM22283v1	23166
GCF_000222835.1_ASM22283v1	22680
GCF_000222835.1_ASM22283v1	27540
GCF_000222835.1_ASM22283v1	20898
GCF_000222835.1_ASM22283v1	30375
GCF_000222835.1_ASM22283v1	31023
GCF_000222835.1_ASM22283v1	30375
GCF_000222835.1_ASM22283v1	31428
GCF_000222835.1_ASM22283v1	31266
GCF_000222835.1_ASM22283v1	25515
GCF_000222835.1_ASM22283v1	29727
GCF_000222835.1_ASM22283v1	30537
GCF_000222835.1_ASM22283v1	34263
GCF_000222835.1_ASM22283v1	58563
GCF_000239475.1_ASM23947v1	27378
GCF_000239475.1_ASM23947v1	61884
GCF_000714705.1_935T	40581
GCF_000714705.1_935T	29889
GCF_000714705.1_935T	41148
GCF_000714705.1_935T	37260
GCF_000714705.1_935T	44793
GCF_000714705.1_935T	67878
GCF_000741005.1_ASM74100v1	26892
GCF_000741005.1_ASM74100v1	55890
GCF_000962775.1_ASM96277v1	25515
GCF_000962775.1_ASM96277v1	26892
GCF_000962775.1_ASM96277v1	28593
GCF_000962775.1_ASM96277v1	29079
GCF_000962775.1_ASM96277v1	24543
GCF_000962775.1_ASM96277v1	25434
GCF_000962775.1_ASM96277v1	28917
GCF_000962775.1_ASM96277v1	31104
GCF_000962775.1_ASM96277v1	30780
GCF_000962775.1_ASM96277v1	30699
GCF_000962775.1_ASM96277v1	31590
GCF_000962775.1_ASM96277v1	36531
GCF_000962775.1_ASM96277v1	57834
GCF_001900865.1_ASM190086v1	29322
GCF_001900865.1_ASM190086v1	25839
GCF_001900865.1_ASM190086v1	24786
GCF_001900865.1_ASM190086v1	23166
GCF_001900865.1_ASM190086v1	12231
GCF_001900865.1_ASM190086v1	8991
GCF_001900865.1_ASM190086v1	7533
GCF_001900865.1_ASM190086v1	5670
GCF_001900865.1_ASM190086v1	5670
GCF_001900865.1_ASM190086v1	5103
GCF_001900865.1_ASM190086v1	26811
GCF_001900865.1_ASM190086v1	27378
GCF_001900865.1_ASM190086v1	10773
GCF_001900865.1_ASM190086v1	9882
GCF_001900865.1_ASM190086v1	9639
GCF_001900865.1_ASM190086v1	86184
GCF_001922545.1_ASM192254v1	37503
GCF_001922545.1_ASM192254v1	27945
GCF_001922545.1_ASM192254v1	27378
GCF_001922545.1_ASM192254v1	21141
GCF_001922545.1_ASM192254v1	20979
GCF_001922545.1_ASM192254v1	27297
GCF_001922545.1_ASM192254v1	27378
GCF_001922545.1_ASM192254v1	58239
GCF_002083055.2_ASM208305v2	28512
GCF_002083055.2_ASM208305v2	29241
GCF_002083055.2_ASM208305v2	61641
GCF_002083055.2_ASM208305v2	28431
GCF_002083055.2_ASM208305v2	59130
GCF_002083055.2_ASM208305v2	26811
GCF_002083055.2_ASM208305v2	89586
GCF_002083055.2_ASM208305v2	30618
GCF_002083055.2_ASM208305v2	36531
GCF_002083055.2_ASM208305v2	17496
GCF_002083055.2_ASM208305v2	26082
GCF_002151465.1_ASM215146v1	17010
GCF_002151465.1_ASM215146v1	26811
GCF_002151465.1_ASM215146v1	31104
GCF_002151465.1_ASM215146v1	30780
GCF_002151465.1_ASM215146v1	30618
GCF_002151465.1_ASM215146v1	31023
GCF_002151465.1_ASM215146v1	30942
GCF_002151465.1_ASM215146v1	37098
GCF_002151465.1_ASM215146v1	39285
GCF_002151465.1_ASM215146v1	54270
GCF_002151465.1_ASM215146v1	53622
GCF_002151485.1_ASM215148v1	17010
GCF_002151485.1_ASM215148v1	26811
GCF_002151485.1_ASM215148v1	28431
GCF_002151485.1_ASM215148v1	31590
GCF_002151485.1_ASM215148v1	26082
GCF_002151485.1_ASM215148v1	57267
GCF_002151485.1_ASM215148v1	62937
GCF_002151485.1_ASM215148v1	37260
GCF_002151485.1_ASM215148v1	54270
GCF_002151485.1_ASM215148v1	53622
