GCF_002995915.1_ASM299591v1|NZ_PHOJ01000016.1|length=8402	GCF_002995915.1_ASM299591v1|NZ_PHOJ01000016.1|length=8402
GCF_002995915.1_ASM299591v1|NZ_PHOJ01000017.1|length=6803	GCF_002995915.1_ASM299591v1|NZ_PHOJ01000017.1|length=6803
GCF_002995915.1_ASM299591v1|NZ_PHOJ01000006.1|length=24264	GCF_002995915.1_ASM299591v1|NZ_PHOJ01000006.1|length=24264
GCF_002995935.1_ASM299593v1|NZ_PHOK01000002.1|length=59397	GCF_002995935.1_ASM299593v1|NZ_PHOK01000002.1|length=59397
GCF_002995935.1_ASM299593v1|NZ_PHOK01000002.1|length=59397	GCF_002996125.1_ASM299612v1|NZ_PHPF01000015.1|length=8430
GCF_002995935.1_ASM299593v1|NZ_PHOK01000002.1|length=59397	GCF_002996395.1_ASM299639v1|NZ_PHQF01000003.1|length=30190
GCF_002995935.1_ASM299593v1|NZ_PHOK01000002.1|length=59397	GCF_002996395.1_ASM299639v1|NZ_PHQF01000004.1|length=29042
GCF_002995935.1_ASM299593v1|NZ_PHOK01000002.1|length=59397	GCF_002997265.1_ASM299726v1|NZ_PHQN01000012.1|length=7199
GCF_002995935.1_ASM299593v1|NZ_PHOK01000002.1|length=59397	GCF_002995865.1_ASM299586v1|NZ_PHOD01000008.1|length=23416
GCF_002995935.1_ASM299593v1|NZ_PHOK01000002.1|length=59397	GCF_002996005.1_ASM299600v1|NZ_PHOT01000006.1|length=26842
GCF_002995935.1_ASM299593v1|NZ_PHOK01000002.1|length=59397	GCF_002996125.1_ASM299612v1|NZ_PHPF01000007.1|length=20053
GCF_002995935.1_ASM299593v1|NZ_PHOK01000002.1|length=59397	GCF_002996265.1_ASM299626v1|NZ_PHPX01000004.1|length=29115
GCF_002995935.1_ASM299593v1|NZ_PHOK01000002.1|length=59397	GCF_002996305.1_ASM299630v1|NZ_PHPZ01000004.1|length=29120
GCF_002995935.1_ASM299593v1|NZ_PHOK01000002.1|length=59397	GCF_002996345.1_ASM299634v1|NZ_PHQB01000003.1|length=29030
