genome_1,genome_2,species,comparison,snp_distance,diff_sites,valid_sites
GCF_019464575.1_ASM1946457v1,GCF_040790735.1_ASM4079073v1,Borreliella burgdorferi,Intra-species,0.005066329352425461,3829,755774
GCF_019464575.1_ASM1946457v1,GCF_002996105.1_ASM299610v1,Borreliella burgdorferi,Intra-species,0.005411374200757751,4092,756185
GCF_019464575.1_ASM1946457v1,GCF_000008685.2_ASM868v2,Borreliella burgdorferi,Intra-species,0.00508997155995003,3830,752460
GCF_019464575.1_ASM1946457v1,GCF_002996305.1_ASM299630v1,Borreliella burgdorferi,Intra-species,0.005192856745950895,3925,755846
GCF_019464575.1_ASM1946457v1,GCF_040790765.1_ASM4079076v1,Borreliella burgdorferi,Intra-species,0.005236607006940225,3956,755451
GCF_019464575.1_ASM1946457v1,GCF_002151465.1_ASM215146v1,Borreliella burgdorferi,Intra-species,0.0051038366772263285,3857,755706
GCF_019464575.1_ASM1946457v1,GCF_030439605.1_ASM3043960v2,Borreliella burgdorferi,Intra-species,0.005081178473582766,3841,755927
GCF_019464575.1_ASM1946457v1,GCF_002996345.1_ASM299634v1,Borreliella burgdorferi,Intra-species,0.0051928979678238785,3925,755840
GCF_019464575.1_ASM1946457v1,GCF_002083055.2_ASM208305v2,Borreliella burgdorferi,Intra-species,0.005118429267903875,3853,752770
GCF_019464575.1_ASM1946457v1,GCF_030445025.1_ASM3044502v2,Borreliella burgdorferi,Intra-species,0.005215905137461522,3943,755957
GCF_019464575.1_ASM1946457v1,GCF_040819585.1_PFhe_I_PB_Ill_cons,Borreliella burgdorferi,Intra-species,0.00544975715628019,4118,755630
GCF_019464575.1_ASM1946457v1,GCF_000181555.2_ASM18155v2,Borreliella burgdorferi,Intra-species,0.005062005601529709,3828,756222
GCF_019464575.1_ASM1946457v1,GCF_051054475.1_ASM5105447v1,Borreliella burgdorferi,Intra-species,0.00535387017592611,4046,755715
GCF_019464575.1_ASM1946457v1,GCF_044941625.1_ASM4494162v1,Borreliella burgdorferi,Intra-species,0.005570005398243118,4086,733572
GCF_019464575.1_ASM1946457v1,GCF_051054855.1_ASM5105485v1,Borreliella burgdorferi,Intra-species,0.005031208574883381,3803,755882
GCF_019464575.1_ASM1946457v1,GCF_002997085.1_ASM299708v1,Borreliella burgdorferi,Intra-species,0.0008884987016283854,672,756332
GCF_019464575.1_ASM1946457v1,GCF_030444985.1_ASM3044498v1,Borreliella burgdorferi,Intra-species,0.005032791201347369,3804,755843
GCF_019464575.1_ASM1946457v1,GCF_002997105.1_ASM299710v1,Borreliella burgdorferi,Intra-species,0.005190210704296907,3923,755846
GCF_019464575.1_ASM1946457v1,GCF_002997045.1_ASM299704v1,Borreliella burgdorferi,Intra-species,0.005194344700207192,3926,755822
GCF_019464575.1_ASM1946457v1,GCF_003367295.1_ASM336729v1,Borreliella burgdorferi,Intra-species,0.0053993780530228975,4082,756013
GCF_019464575.1_ASM1946457v1,GCF_002151485.1_ASM215148v1,Borreliella burgdorferi,Intra-species,0.005113737255411232,3859,754634
GCF_019464575.1_ASM1946457v1,GCF_002996365.1_ASM299636v1,Borreliella burgdorferi,Intra-species,0.005191039239705894,3924,755918
GCF_019464575.1_ASM1946457v1,GCF_002995985.1_ASM299598v1,Borreliella burgdorferi,Intra-species,0.005415298515851154,4095,756191
GCF_019464575.1_ASM1946457v1,GCF_002996405.1_ASM299640v1,Borreliella burgdorferi,Intra-species,0.0010737814828234635,812,756206
GCF_019464575.1_ASM1946457v1,GCF_002996395.1_ASM299639v1,Borreliella burgdorferi,Intra-species,0.0028772962146687868,2175,755918
GCF_019464575.1_ASM1946457v1,GCF_002996645.1_ASM299664v1,Borreliella burgdorferi,Intra-species,0.005279438623219743,3992,756141
GCF_019464575.1_ASM1946457v1,GCF_002996545.1_ASM299654v1,Borreliella burgdorferi,Intra-species,0.004608069412021453,3484,756065
GCF_019464575.1_ASM1946457v1,GCF_051054285.1_ASM5105428v1,Borreliella burgdorferi,Intra-species,0.001272358863394685,962,756076
GCF_019464575.1_ASM1946457v1,GCF_002996475.1_ASM299647v1,Borreliella burgdorferi,Intra-species,0.004901053210679165,3706,756164
GCF_019464575.1_ASM1946457v1,GCF_051054485.1_ASM5105448v1,Borreliella burgdorferi,Intra-species,0.005448108586166173,4115,755308
GCF_019464575.1_ASM1946457v1,GCF_024662155.1_ASM2466215v1,Borreliella burgdorferi,Intra-species,3.834599191825164e-05,29,756272
GCF_019464575.1_ASM1946457v1,GCF_032595535.1_ASM3259553v1,Borreliella burgdorferi,Intra-species,0.005461236769999463,4066,744520
GCF_019464575.1_ASM1946457v1,GCF_002997145.1_ASM299714v1,Borreliella burgdorferi,Intra-species,0.005276772678220022,3990,756144
GCF_019464575.1_ASM1946457v1,GCF_002996465.1_ASM299646v1,Borreliella burgdorferi,Intra-species,0.005211771195307819,3940,755981
GCF_019464575.1_ASM1946457v1,GCF_002997265.1_ASM299726v1,Borreliella burgdorferi,Intra-species,0.00528605114654542,3997,756141
GCF_019464575.1_ASM1946457v1,GCF_002996245.1_ASM299624v1,Borreliella burgdorferi,Intra-species,0.005234300076060717,3957,755975
GCF_019464575.1_ASM1946457v1,GCF_000166635.1_ASM16663v1,Borreliella burgdorferi,Intra-species,0.005233073554123609,3955,755770
GCF_019464575.1_ASM1946457v1,GCF_002996485.1_ASM299648v1,Borreliella burgdorferi,Intra-species,0.005201020088112956,3930,755621
GCF_019464575.1_ASM1946457v1,GCF_000021405.1_ASM2140v1,Borreliella burgdorferi,Intra-species,0.005334487881219266,4029,755274
GCF_019464575.1_ASM1946457v1,GCF_002995885.1_ASM299588v1,Borreliella burgdorferi,Intra-species,0.004813861380899593,3639,755942
GCF_019464575.1_ASM1946457v1,GCF_000444465.1_ASM44446v1,Borreliella burgdorferi,Intra-species,0.005135550633340287,3865,752597
GCF_019464575.1_ASM1946457v1,GCF_002996925.1_ASM299692v1,Borreliella burgdorferi,Intra-species,0.005236945666192665,3959,755975
GCF_019464575.1_ASM1946457v1,GCF_051054355.1_ASM5105435v1,Borreliella burgdorferi,Intra-species,0.004863514643465744,3676,755832
GCF_019464575.1_ASM1946457v1,GCF_002996025.1_ASM299602v1,Borreliella burgdorferi,Intra-species,0.004880926555944148,3690,756004
GCF_019464575.1_ASM1946457v1,GCF_002996285.1_ASM299628v1,Borreliella burgdorferi,Intra-species,0.005394867535435643,4079,756089
GCF_019464575.1_ASM1946457v1,GCF_002997285.1_ASM299728v1,Borreliella burgdorferi,Intra-species,0.00489576335292344,3702,756164
GCF_019464575.1_ASM1946457v1,GCF_002151505.1_ASM215150v1,Borreliella burgdorferi,Intra-species,0.005097902754825675,3853,755801
GCF_019464575.1_ASM1946457v1,GCF_002996585.1_ASM299658v1,Borreliella burgdorferi,Intra-species,0.004879855059047569,3690,756170
GCF_019464575.1_ASM1946457v1,GCF_002996705.1_ASM299670v1,Borreliella burgdorferi,Intra-species,0.005390457726036202,4076,756151
GCF_019464575.1_ASM1946457v1,GCF_040790805.1_ASM4079080v1,Borreliella burgdorferi,Intra-species,0.005112280483000407,3854,753871
GCF_019464575.1_ASM1946457v1,GCF_040268345.1_ASM4026834v1,Borreliella burgdorferi,Intra-species,0.005301143596679044,4006,755686
GCF_019464575.1_ASM1946457v1,GCF_002996685.1_ASM299668v1,Borreliella burgdorferi,Intra-species,0.005160141642647294,3901,755987
GCF_019464575.1_ASM1946457v1,GCF_002996865.1_ASM299686v1,Borreliella burgdorferi,Intra-species,0.005231612963817874,3955,755981
GCF_019464575.1_ASM1946457v1,GCF_002996005.1_ASM299600v1,Borreliella burgdorferi,Intra-species,0.004753823627058965,3594,756023
GCF_019464575.1_ASM1946457v1,GCF_030440345.1_ASM3044034v2,Borreliella burgdorferi,Intra-species,0.004938915158619485,3733,755834
GCF_019464575.1_ASM1946457v1,GCF_002996165.1_ASM299616v1,Borreliella burgdorferi,Intra-species,0.005293916162248016,4003,756151
GCF_019464575.1_ASM1946457v1,GCF_030439625.1_ASM3043962v2,Borreliella burgdorferi,Intra-species,0.0051109511687844325,3863,755828
GCF_019464575.1_ASM1946457v1,GCF_002997245.1_ASM299724v1,Borreliella burgdorferi,Intra-species,0.005274190455408095,3988,756135
GCF_019464575.1_ASM1946457v1,GCF_002996385.1_ASM299638v1,Borreliella burgdorferi,Intra-species,0.004791962415773521,3622,755849
GCF_019464575.1_ASM1946457v1,GCF_051054405.1_ASM5105440v1,Borreliella burgdorferi,Intra-species,4.100295882641596e-05,31,756043
GCF_019464575.1_ASM1946457v1,GCF_051054305.1_ASM5105430v1,Borreliella burgdorferi,Intra-species,0.005409294464003725,4090,756106
GCF_019464575.1_ASM1946457v1,GCF_040790795.1_ASM4079079v1,Borreliella burgdorferi,Intra-species,0.004951268605328672,3739,755160
GCF_019464575.1_ASM1946457v1,GCF_032595375.1_ASM3259537v2,Borreliella burgdorferi,Intra-species,0.005428267524309975,4098,754937
GCF_019464575.1_ASM1946457v1,GCF_024662175.1_ASM2466217v1,Borreliella burgdorferi,Intra-species,0.004946853409611105,3739,755834
GCF_019464575.1_ASM1946457v1,GCF_030445005.1_ASM3044500v2,Borreliella burgdorferi,Intra-species,0.005113532598770317,3864,755642
GCF_019464575.1_ASM1946457v1,GCF_000166655.1_ASM16665v1,Borreliella burgdorferi,Intra-species,0.005190345771542715,3921,755441
GCF_019464575.1_ASM1946457v1,GCF_002997065.1_ASM299706v1,Borreliella burgdorferi,Intra-species,0.005394867535435643,4079,756089
GCF_019464575.1_ASM1946457v1,GCF_051054345.1_ASM5105434v1,Borreliella burgdorferi,Intra-species,0.005117948977944522,3836,749519
GCF_019464575.1_ASM1946457v1,GCF_002995865.1_ASM299586v1,Borreliella burgdorferi,Intra-species,0.005579416740631196,4218,755993
GCF_019464575.1_ASM1946457v1,GCF_002997165.1_ASM299716v1,Borreliella burgdorferi,Intra-species,0.0052112963016862955,3939,755858
GCF_019464575.1_ASM1946457v1,GCF_040790785.1_ASM4079078v1,Borreliella burgdorferi,Intra-species,0.005286470629469594,3997,756081
GCF_019464575.1_ASM1946457v1,GCF_040790745.1_ASM4079074v1,Borreliella burgdorferi,Intra-species,0.005230476134959003,3948,754807
GCF_019464575.1_ASM1946457v1,GCF_002996965.1_ASM299696v1,Borreliella burgdorferi,Intra-species,0.005450910712230282,4120,755837
GCF_019464575.1_ASM1946457v1,GCF_002996605.1_ASM299660v1,Borreliella burgdorferi,Intra-species,0.004648997390477425,3515,756077
GCF_019464575.1_ASM1946457v1,GCF_038801875.1_ASM3880187v1,Borreliella burgdorferi,Intra-species,0.004939130802949453,3733,755801
GCF_019464575.1_ASM1946457v1,GCF_002442595.2_ASM244259v2,Borreliella burgdorferi,Intra-species,4.495736983519157e-05,34,756272
GCF_019464575.1_ASM1946457v1,GCF_024662195.1_ASM2466219v1,Borreliella burgdorferi,Intra-species,0.005089806422439304,3827,751895
GCF_019464575.1_ASM1946457v1,GCF_002996265.1_ASM299626v1,Borreliella burgdorferi,Intra-species,0.004984291808591554,3768,755975
GCF_019464575.1_ASM1946457v1,GCF_002996125.1_ASM299612v1,Borreliella burgdorferi,Intra-species,0.004950488500234824,3742,755885
GCF_019464575.1_ASM1946457v1,GCF_002996625.1_ASM299662v1,Borreliella burgdorferi,Intra-species,0.004816507086522511,3641,755942
GCF_019464575.1_ASM1946457v1,GCF_040790755.1_ASM4079075v1,Borreliella burgdorferi,Intra-species,0.005193476887040553,3920,754793
GCF_019464575.1_ASM1946457v1,GCF_030439665.1_ASM3043966v2,Borreliella burgdorferi,Intra-species,0.005367739068092773,4058,755998
GCF_019464575.1_ASM1946457v1,GCF_002995915.1_ASM299591v1,Borreliella burgdorferi,Intra-species,0.005237797875774623,3959,755852
GCF_019464575.1_ASM1946457v1,GCF_040790715.1_ASM4079071v1,Borreliella burgdorferi,Intra-species,0.004845432809293075,3664,756176
GCF_019464575.1_ASM1946457v1,GCF_051147265.1_ASM5114726v1,Borreliella burgdorferi,Intra-species,0.004824099598410574,3647,755996
GCF_019464575.1_ASM1946457v1,GCF_002995935.1_ASM299593v1,Borreliella burgdorferi,Intra-species,0.002870681740612077,2170,755918
GCF_019464575.1_ASM1946457v1,GCF_019134655.1_ASM1913465v1,Borreliella burgdorferi,Intra-species,0.005603022853982711,4235,755842
GCF_019464575.1_ASM1946457v1,GCF_032595755.1_ASM3259575v2,Borreliella burgdorferi,Intra-species,0.005449161076689368,3831,703044
GCF_019464575.1_ASM1946457v1,GCF_040790775.1_ASM4079077v1,Borreliella burgdorferi,Intra-species,0.005124815551675996,3869,754954
GCF_019464575.1_ASM1946457v1,GCF_032595515.1_ASM3259551v2,Borreliella burgdorferi,Intra-species,0.0052494144159892,3904,743702
GCF_019464575.1_ASM1946457v1,GCF_002997205.1_ASM299720v1,Borreliella burgdorferi,Intra-species,0.005382857384698401,4070,756104
GCF_019464575.1_ASM1946457v1,GCF_030445065.1_ASM3044506v2,Borreliella burgdorferi,Intra-species,0.005086046111721055,3845,755990
GCF_040790735.1_ASM4079073v1,GCF_002996105.1_ASM299610v1,Borreliella burgdorferi,Intra-species,0.005445001515073326,4115,755739
GCF_040790735.1_ASM4079073v1,GCF_000008685.2_ASM868v2,Borreliella burgdorferi,Intra-species,0.004660678417177246,3506,752251
GCF_040790735.1_ASM4079073v1,GCF_002996305.1_ASM299630v1,Borreliella burgdorferi,Intra-species,0.005486652586111067,4146,755652
GCF_040790735.1_ASM4079073v1,GCF_040790765.1_ASM4079076v1,Borreliella burgdorferi,Intra-species,0.004729112314762088,3571,755110
GCF_040790735.1_ASM4079073v1,GCF_002151465.1_ASM215146v1,Borreliella burgdorferi,Intra-species,0.004645985193734935,3510,755491
GCF_040790735.1_ASM4079073v1,GCF_030439605.1_ASM3043960v2,Borreliella burgdorferi,Intra-species,0.00463931508571353,3506,755715
GCF_040790735.1_ASM4079073v1,GCF_002996345.1_ASM299634v1,Borreliella burgdorferi,Intra-species,0.0054866961513724685,4146,755646
GCF_040790735.1_ASM4079073v1,GCF_002083055.2_ASM208305v2,Borreliella burgdorferi,Intra-species,0.004671108760421955,3515,752498
GCF_040790735.1_ASM4079073v1,GCF_030445025.1_ASM3044502v2,Borreliella burgdorferi,Intra-species,0.004707955889708393,3558,755742
GCF_040790735.1_ASM4079073v1,GCF_040819585.1_PFhe_I_PB_Ill_cons,Borreliella burgdorferi,Intra-species,0.004942027488952259,3733,755358
GCF_040790735.1_ASM4079073v1,GCF_000181555.2_ASM18155v2,Borreliella burgdorferi,Intra-species,0.00030429881614530134,230,755836
GCF_040790735.1_ASM4079073v1,GCF_051054475.1_ASM5105447v1,Borreliella burgdorferi,Intra-species,0.004820588320963006,3641,755302
GCF_040790735.1_ASM4079073v1,GCF_044941625.1_ASM4494162v1,Borreliella burgdorferi,Intra-species,0.005094172653728523,3736,733387
