Genome_ID,species,asm_level,n_contigs,len,accessory,has_plasmid_34,has_plasmid_corrected
GCF_018141305.1_ASM1814130v1,Borreliella afzelii,Complete Genome,1,0.92,21,FALSE,FALSE
GCF_026571835.1_ASM2657183v1,Borreliella afzelii,Complete Genome,1,0.91,19,FALSE,FALSE
GCF_026571795.1_ASM2657179v1,Borreliella afzelii,Complete Genome,1,0.91,19,FALSE,FALSE
GCF_026571995.1_ASM2657199v1,Borreliella afzelii,Complete Genome,1,0.91,20,FALSE,FALSE
GCF_026571955.1_ASM2657195v1,Borreliella afzelii,Complete Genome,1,0.91,19,FALSE,FALSE
GCF_026571735.1_ASM2657173v1,Borreliella afzelii,Chromosome,1,0.91,19,FALSE,FALSE
GCF_026571775.1_ASM2657177v1,Borreliella afzelii,Complete Genome,1,0.91,19,FALSE,FALSE
GCF_026571635.1_ASM2657163v1,Borreliella afzelii,Complete Genome,1,0.9,19,FALSE,FALSE
GCF_026571715.1_ASM2657171v1,Borreliella afzelii,Complete Genome,1,0.9,19,FALSE,FALSE
GCF_026571655.1_ASM2657165v1,Borreliella afzelii,Complete Genome,1,0.9,20,FALSE,FALSE
GCF_026571755.1_ASM2657175v1,Borreliella afzelii,Complete Genome,1,0.9,19,FALSE,FALSE
GCF_026571875.1_ASM2657187v1,Borreliella afzelii,Complete Genome,1,0.9,18,FALSE,FALSE
GCF_026571915.1_ASM2657191v1,Borreliella afzelii,Complete Genome,1,0.9,17,FALSE,FALSE
GCF_026572915.1_ASM2657291v1,Borreliella afzelii,Complete Genome,1,0.9,19,FALSE,FALSE
GCF_026571615.1_ASM2657161v1,Borreliella afzelii,Chromosome,1,0.9,19,FALSE,FALSE
GCF_026571895.1_ASM2657189v1,Borreliella afzelii,Complete Genome,1,0.9,18,FALSE,FALSE
GCF_026571675.1_ASM2657167v1,Borreliella afzelii,Complete Genome,1,0.9,20,FALSE,FALSE
GCF_026571695.1_ASM2657169v1,Borreliella afzelii,Complete Genome,1,0.9,19,FALSE,FALSE
GCF_026571935.1_ASM2657193v1,Borreliella afzelii,Complete Genome,1,0.9,18,FALSE,FALSE
GCF_026571815.1_ASM2657181v1,Borreliella afzelii,Complete Genome,1,0.88,16,FALSE,FALSE
GCF_001900865.1_ASM190086v1,Borreliella afzelii,Chromosome,32,1.26,289,TRUE,TRUE
GCF_040790685.1_ASM4079068v1,Borreliella afzelii,Complete Genome,13,1.25,283,TRUE,TRUE
