genome,sp,carrier,BBK32,BmpA_B,CspA_Z,DbpA,DbpB,Erp,Mlp,OspA,OspB,OspC,OspD,P66,VlsE
GCF_000008685.2_ASM868v2,bb,TRUE,1,1,1,1,1,1,1,1,1,1,1,1,1
GCF_000021405.1_ASM2140v1,bb,TRUE,0,1,0,1,1,1,1,1,1,1,0,1,1
GCF_000165595.2_ASM16559v2,afz,TRUE,0,1,0,1,1,1,0,1,1,1,0,1,0
GCF_000166635.1_ASM16663v1,bb,TRUE,0,1,0,1,1,1,1,1,1,1,1,1,0
GCF_000166655.1_ASM16665v1,bb,TRUE,0,1,1,1,1,1,1,1,1,1,0,1,0
GCF_000181555.2_ASM18155v2,bb,TRUE,0,1,0,1,1,1,1,1,1,1,0,1,0
GCF_000196215.1_ASM19621v1,bav,TRUE,0,1,0,1,1,0,1,1,1,1,0,1,0
GCF_000222835.1_ASM22283v1,afz,TRUE,0,1,0,1,1,1,1,1,1,1,0,1,0
GCF_000239475.1_ASM23947v1,gar,TRUE,0,1,0,1,1,0,1,1,1,1,0,1,0
GCF_000300045.1_ASM30004v1,gar,FALSE,0,1,0,0,0,0,0,0,0,0,0,1,0
GCF_000304735.1_ASM30473v1,afz,FALSE,0,1,0,0,0,0,0,0,0,0,0,1,0
GCF_000444465.1_ASM44446v1,bb,FALSE,0,1,0,0,0,0,0,0,0,0,0,1,0
GCF_000691545.1_ASM69154v1,gar,FALSE,0,1,0,0,0,0,0,0,0,0,0,1,0
GCF_000714705.1_935T,gar,TRUE,0,1,0,1,1,1,1,1,0,1,0,1,0
GCF_000741005.1_ASM74100v1,afz,TRUE,0,1,0,1,1,0,0,1,1,1,0,1,0
GCF_000962775.1_ASM96277v1,afz,TRUE,0,1,0,1,1,1,1,1,1,1,0,1,0
GCF_001900865.1_ASM190086v1,afz,TRUE,0,1,0,1,1,1,1,1,1,1,0,1,0
GCF_001922545.1_ASM192254v1,gar,TRUE,0,1,0,1,1,1,1,1,0,1,0,1,0
GCF_002083055.2_ASM208305v2,bb,TRUE,0,1,0,1,1,1,1,1,1,1,0,1,1
GCF_002151465.1_ASM215146v1,bb,TRUE,0,1,0,1,1,1,1,1,1,1,1,1,0
GCF_002151485.1_ASM215148v1,bb,TRUE,0,1,0,1,1,1,1,1,1,1,0,1,1
GCF_002151505.1_ASM215150v1,bb,TRUE,0,1,0,1,1,1,1,1,1,1,1,1,1
GCF_002442595.2_ASM244259v2,bb,TRUE,0,1,0,1,1,1,1,1,1,1,1,1,0
GCF_002995865.1_ASM299586v1,bb,TRUE,0,1,0,1,1,1,1,1,1,1,1,1,0
GCF_002995885.1_ASM299588v1,bb,TRUE,0,1,0,1,1,1,1,1,1,1,0,1,0
GCF_002995915.1_ASM299591v1,bb,TRUE,0,1,0,1,1,1,1,1,1,1,1,1,0
GCF_002995935.1_ASM299593v1,bb,TRUE,1,1,0,1,1,1,1,1,1,1,1,1,0
GCF_002995985.1_ASM299598v1,bb,TRUE,1,1,0,1,1,1,1,1,1,1,1,1,0
GCF_002996005.1_ASM299600v1,bb,TRUE,1,1,0,1,1,1,1,1,1,1,1,1,0
GCF_002996025.1_ASM299602v1,bb,TRUE,0,1,0,1,1,1,1,1,1,1,0,1,0
GCF_002996105.1_ASM299610v1,bb,TRUE,0,1,0,1,1,1,1,1,1,1,1,1,0
GCF_002996125.1_ASM299612v1,bb,TRUE,1,1,0,1,1,1,1,1,1,1,0,1,0
GCF_002996165.1_ASM299616v1,bb,TRUE,0,1,0,1,1,1,1,1,1,1,0,1,0
GCF_002996245.1_ASM299624v1,bb,TRUE,0,1,0,1,1,1,1,1,1,1,1,1,0
GCF_002996265.1_ASM299626v1,bb,TRUE,0,1,0,1,1,1,1,1,1,1,1,1,0
GCF_002996285.1_ASM299628v1,bb,TRUE,0,1,0,1,1,1,1,1,1,1,1,1,0
GCF_002996305.1_ASM299630v1,bb,TRUE,0,1,0,1,1,1,1,1,1,1,1,1,0
GCF_002996345.1_ASM299634v1,bb,TRUE,0,1,0,1,1,1,1,1,1,1,1,1,0
GCF_002996365.1_ASM299636v1,bb,TRUE,0,1,0,1,1,1,1,1,1,1,1,1,0
GCF_002996385.1_ASM299638v1,bb,TRUE,0,1,0,1,1,1,1,1,1,1,1,1,1
GCF_002996395.1_ASM299639v1,bb,TRUE,0,1,0,1,1,1,1,1,1,1,1,1,0
GCF_002996405.1_ASM299640v1,bb,TRUE,0,1,0,1,1,1,1,1,1,1,1,1,0
GCF_002996465.1_ASM299646v1,bb,TRUE,0,1,0,1,1,1,1,1,1,1,1,1,0
GCF_002996475.1_ASM299647v1,bb,TRUE,1,1,0,1,1,1,1,1,1,1,0,1,0
GCF_002996485.1_ASM299648v1,bb,TRUE,0,1,0,1,1,1,1,1,1,1,1,1,0
GCF_002996545.1_ASM299654v1,bb,TRUE,0,1,0,1,1,1,1,1,1,1,0,1,0
GCF_002996585.1_ASM299658v1,bb,TRUE,1,1,0,1,1,1,1,1,1,1,0,1,1
GCF_002996605.1_ASM299660v1,bb,TRUE,0,1,1,1,1,1,1,1,1,1,0,1,0
GCF_002996625.1_ASM299662v1,bb,TRUE,1,1,0,1,1,1,1,1,1,1,0,1,0
GCF_002996645.1_ASM299664v1,bb,TRUE,0,1,0,1,1,1,1,1,1,1,0,1,0
GCF_002996685.1_ASM299668v1,bb,TRUE,0,1,0,1,1,1,1,1,1,1,1,1,0
GCF_002996705.1_ASM299670v1,bb,TRUE,0,1,0,1,1,1,1,1,1,1,1,1,0
GCF_002996865.1_ASM299686v1,bb,TRUE,0,1,0,1,1,1,1,1,1,1,1,1,0
GCF_002996925.1_ASM299692v1,bb,TRUE,0,1,0,1,1,1,1,1,1,1,1,1,0
GCF_002996965.1_ASM299696v1,bb,TRUE,1,1,0,1,1,1,1,1,1,1,1,1,0
GCF_002997045.1_ASM299704v1,bb,TRUE,0,1,0,1,1,1,1,1,1,1,1,1,0
GCF_002997065.1_ASM299706v1,bb,TRUE,0,1,0,1,1,1,1,1,1,1,1,1,0
GCF_002997085.1_ASM299708v1,bb,TRUE,0,1,0,1,1,1,1,1,1,1,1,1,0
GCF_002997105.1_ASM299710v1,bb,TRUE,0,1,0,1,1,1,1,1,1,1,1,1,0
GCF_002997145.1_ASM299714v1,bb,TRUE,1,1,0,1,1,1,1,1,1,1,0,1,0
GCF_002997165.1_ASM299716v1,bb,TRUE,0,1,0,1,1,1,1,1,1,1,1,1,0
GCF_002997205.1_ASM299720v1,bb,TRUE,0,1,0,1,1,1,1,1,1,1,1,1,0
GCF_002997245.1_ASM299724v1,bb,TRUE,0,1,0,1,1,1,1,1,1,1,0,1,0
GCF_002997265.1_ASM299726v1,bb,TRUE,0,1,0,1,1,1,1,1,1,1,0,1,0
GCF_002997285.1_ASM299728v1,bb,TRUE,1,1,0,1,1,1,1,1,1,1,0,1,0
GCF_003367295.1_ASM336729v1,bb,TRUE,0,1,0,1,1,1,1,1,1,1,0,1,0
GCF_003814405.1_ASM381440v1,gar,TRUE,0,1,0,1,1,1,1,1,0,1,0,1,0
GCF_003814425.1_ASM381442v1,bav,TRUE,0,1,0,1,1,1,1,1,1,1,0,1,0
GCF_014525455.1_ASM1452545v1,bav,TRUE,0,1,0,1,1,1,1,1,1,1,0,1,0
GCF_014525525.1_ASM1452552v1,bav,TRUE,0,1,0,1,1,1,1,1,1,1,0,1,0
GCF_014525535.1_ASM1452553v1,bav,TRUE,0,1,0,1,1,1,1,1,1,1,0,1,0
GCF_014525565.1_ASM1452556v1,bav,TRUE,0,1,0,1,1,1,1,1,1,1,0,1,0
GCF_014525665.1_ASM1452566v1,bav,TRUE,0,1,0,1,1,1,1,1,1,1,0,1,0
GCF_014525685.1_ASM1452568v1,bav,TRUE,0,1,0,1,1,1,1,1,1,1,0,1,0
GCF_014525705.1_ASM1452570v1,bav,TRUE,0,1,0,1,1,1,1,1,1,1,0,1,0
GCF_014525715.1_ASM1452571v1,bav,TRUE,0,1,0,1,1,1,1,1,1,1,0,1,0
GCF_014525745.1_ASM1452574v1,bav,TRUE,0,1,0,1,1,1,1,1,1,1,0,1,0
GCF_014525755.1_ASM1452575v1,bav,TRUE,0,1,0,1,1,1,1,1,1,1,0,1,0
GCF_014525785.1_ASM1452578v1,bav,TRUE,0,1,0,1,1,1,1,1,1,1,0,1,0
GCF_014525805.2_ASM1452580v2,bav,TRUE,0,1,0,1,1,1,1,1,1,1,0,1,0
GCF_014525815.1_ASM1452581v1,bav,TRUE,0,1,0,1,1,1,1,1,1,1,0,1,0
GCF_014525845.1_ASM1452584v1,bav,TRUE,0,1,0,1,1,1,1,1,1,1,0,1,0
GCF_014525925.1_ASM1452592v1,bav,TRUE,0,1,0,1,1,1,1,1,1,1,0,1,0
GCF_014525935.1_ASM1452593v1,bav,TRUE,0,1,0,1,1,1,1,1,1,1,0,1,0
GCF_014526005.1_ASM1452600v1,bav,TRUE,0,1,0,1,1,1,1,1,1,1,0,1,0
GCF_014526025.1_ASM1452602v1,bav,TRUE,0,1,0,1,1,1,1,1,1,1,0,1,0
GCF_014526045.1_ASM1452604v1,bav,TRUE,0,1,0,1,1,1,1,1,1,1,0,1,0
GCF_018141305.1_ASM1814130v1,afz,FALSE,0,1,0,0,0,0,0,0,0,0,0,1,0
GCF_018831585.1_ASM1883158v1,bav,TRUE,0,1,0,1,1,1,1,1,1,1,0,1,0
GCF_019134655.1_ASM1913465v1,bb,TRUE,0,1,1,1,1,1,1,1,0,1,0,1,0
GCF_019464575.1_ASM1946457v1,bb,TRUE,1,1,1,1,1,1,1,1,1,1,1,1,0
GCF_024662155.1_ASM2466215v1,bb,TRUE,0,1,1,1,1,1,1,1,1,1,1,1,0
GCF_024662175.1_ASM2466217v1,bb,TRUE,0,1,0,1,1,1,1,1,1,1,0,1,0
GCF_024662195.1_ASM2466219v1,bb,TRUE,1,1,1,1,1,1,1,1,1,1,1,1,1
GCF_026571615.1_ASM2657161v1,afz,FALSE,0,1,0,0,0,0,0,0,0,0,0,1,0
GCF_026571635.1_ASM2657163v1,afz,FALSE,0,1,0,0,0,0,0,0,0,0,0,1,0
GCF_026571655.1_ASM2657165v1,afz,FALSE,0,1,0,0,0,0,0,0,0,0,0,1,0
GCF_026571675.1_ASM2657167v1,afz,FALSE,0,1,0,0,0,0,0,0,0,0,0,1,0
GCF_026571695.1_ASM2657169v1,afz,FALSE,0,1,0,0,0,0,0,0,0,0,0,1,0
GCF_026571715.1_ASM2657171v1,afz,FALSE,0,1,0,0,0,0,0,0,0,0,0,1,0
GCF_026571735.1_ASM2657173v1,afz,FALSE,0,1,0,0,0,0,0,0,0,0,0,1,0
GCF_026571755.1_ASM2657175v1,afz,FALSE,0,1,0,0,0,0,0,0,0,0,0,1,0
GCF_026571775.1_ASM2657177v1,afz,FALSE,0,1,0,0,0,0,0,0,0,0,0,1,0
GCF_026571795.1_ASM2657179v1,afz,FALSE,0,1,0,0,0,0,0,0,0,0,0,1,0
GCF_026571815.1_ASM2657181v1,afz,FALSE,0,1,0,0,0,0,0,0,0,0,0,1,0
GCF_026571835.1_ASM2657183v1,afz,FALSE,0,1,0,0,0,0,0,0,0,0,0,1,0
GCF_026571875.1_ASM2657187v1,afz,FALSE,0,1,0,0,0,0,0,0,0,0,0,1,0
